id,orden,año,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,
126,7,2020,18/08/2020,Diputado,Boris Barrera Moreno,03/05/1970,50,Partido Comunista de Chile,PC,Apruebo,,Instagram,
127,7,2020,18/08/2020,Diputado,Hugo Gutiérrez Gálvez,05/10/1961,59,Partido Comunista de Chile,PC,Apruebo,,Instagram,
128,7,2020,18/08/2020,Diputado,Carmen Hertz Cádiz,19/06/1945,75,Partido Comunista de Chile,PC,Apruebo,,Instagram,
129,7,2020,18/08/2020,Diputado,Amaro Labra Sepúlveda,25/10/1949,71,Partido Comunista de Chile,PC,Apruebo,,Instagram,
130,7,2020,18/08/2020,Diputado,Daniel Núñez Arancibia,07/01/1971,49,Partido Comunista de Chile,PC,Apruebo,,Instagram,
131,7,2020,19/08/2020,Diputado,Guillermo Teillier del Valle,29/10/1943,77,Partido Comunista de Chile,PC,Apruebo,19/08/2020,T13,
132,7,2020,18/08/2020,Diputado,Gabriel Ascencio Mansilla,25/10/1953,67,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
133,7,2020,19/08/2020,Diputado,Miguel Calisto Águila,19/07/1985,35,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
134,7,2020,19/08/2020,Diputado,Iván Flores García,15/06/1955,65,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
135,7,2020,19/08/2020,Diputado,Manuel Matta Aragay,10/11/1946,74,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
136,7,2020,19/08/2020,Diputado,José Miguel Ortiz Novoa,22/11/1941,79,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
137,7,2020,19/08/2020,Diputado,Joanna Pérez Olea,01/04/1976,44,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
138,7,2020,18/08/2020,Diputado,Gabriel Silber Romo,15/09/1976,44,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
139,7,2020,19/08/2020,Diputado,Raúl Soto Mardones,20/11/1987,33,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
140,7,2020,19/08/2020,Diputado,Víctor Torres Jeldes,11/10/1975,45,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
141,7,2020,19/08/2020,Diputado,Mario Venegas Cárdenas,03/12/1957,63,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
142,7,2020,19/08/2020,Diputado,Daniel Verdessi Belemmi,15/12/1952,68,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
143,7,2020,19/08/2020,Diputado,Pablo Lorenzini Basso,25/10/1949,71,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
144,7,2020,19/08/2020,Diputado,Jorge Sabag Villalobos,26/12/1963,57,Partido Democrata Cristiano,DC,Apruebo,19/08/2020,T13,
145,7,2020,18/08/2020,Diputado,Matias Walker Prieto,19/07/1973,47,Partido Democrata Cristiano,DC,Apruebo,,Instagram,
146,7,2020,19/08/2020,Diputado,Félix González Gatica,26/05/1972,48,Partido Ecologista Verde,PEV,Apruebo,26/02/2020,Cooperativa,
147,7,2020,19/08/2020,Diputado,Raúl Florcita Alarcón Rojas,15/10/1945,75,Partido Humanista,PH,Apruebo,18/12/2019,Agricultura,
148,7,2020,18/08/2020,Diputado,Tomás Hirsch Goldschmidt,19/07/1956,64,Partido Humanista,PH,Apruebo,,Instagram,
149,7,2020,18/08/2020,Diputado,Pamela Jiles Moreno,30/11/1960,60,Partido Humanista,PH,Apruebo,,Instagram,
150,7,2020,18/08/2020,Diputado,Camila Rojas Valderrama,11/03/1991,29,Partido Igualdad,PI,Apruebo,,Twitter,
151,7,2020,18/08/2020,Diputado,Alejandro Bernales Maldonado,02/02/1979,41,Partido Liberal,PL,Apruebo,,Instagram,
152,7,2020,18/08/2020,Diputado,Vlado Mirosevic Verdugo,23/05/1987,33,Partido Liberal,PL,Apruebo,,Instagram,
153,7,2020,18/08/2020,Diputado,Claudia Mix Jiménez,13/07/1969,51,Partido Poder Ciudadano,PPC,Apruebo,,Instagram,
154,7,2020,19/08/2020,Diputado,René Alinco Bustos,02/06/1958,62,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
155,7,2020,19/08/2020,Diputado,Loreto Carvajal Ambiado,18/05/1973,47,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
156,7,2020,18/08/2020,Diputado,Ricardo Celis Araya,11/07/1955,65,Partido por la Democracia,PPD,Apruebo,,Instagram,
157,7,2020,19/08/2020,Diputado,Rodrigo González Torres,26/09/1941,79,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
158,7,2020,19/08/2020,Diputado,Tucapel Jiménez Fuentes,01/09/1962,58,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
159,7,2020,18/08/2020,Diputado,Carolina Marzán Pinto,22/12/1963,57,Partido por la Democracia,PPD,Apruebo,,Instagram,
160,7,2020,19/08/2020,Diputado,Andrea Parra Sauterel,02/09/1967,53,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
161,7,2020,19/08/2020,Diputado,Cristina Girardi Lavín,09/01/1962,58,Partido por la Democracia,PPD,Apruebo,19/08/2020,T13,
162,7,2020,19/08/2020,Diputado,Marisela Santibáñez Novoa,24/04/1975,45,Partido Comunista de Chile,PC,Apruebo,12/08/2020,Pauta,
163,7,2020,19/08/2020,Diputado,Pepe Auth Stewart,06/03/1957,63,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
164,7,2020,19/08/2020,Diputado,Marcela Hernando Pérez,12/02/1960,60,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
165,7,2020,19/08/2020,Diputado,Cosme Mellado Pino,24/02/1960,60,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
166,7,2020,19/08/2020,Diputado,Fernando Meza Moncada,14/07/1946,74,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
167,7,2020,19/08/2020,Diputado,José Pérez Arriagada,29/12/1940,80,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
168,7,2020,19/08/2020,Diputado,Alexis Sepúlveda Soto,29/12/1969,51,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
169,7,2020,19/08/2020,Diputado,Carlos Abel Jarpa Wevar,14/11/1944,76,Partido Radical Socialdemócrata,PR,Apruebo,12/08/2020,Pauta,
170,7,2020,18/08/2020,Diputado,Marcelo Díaz Díaz,06/02/1971,49,Partido Socialista,PS,Apruebo,,Twitter,
171,7,2020,19/08/2020,Diputado,Jenny Álvarez Vera,30/03/1974,46,Partido Socialista,PS,Apruebo,19/08/2020,T13,
172,7,2020,19/08/2020,Diputado,Juan Luis Castro González,18/04/1960,60,Partido Socialista,PS,Apruebo,19/08/2020,T13,
173,7,2020,19/08/2020,Diputado,Daniella Cicardini Milla,31/12/1987,33,Partido Socialista,PS,Apruebo,19/08/2020,T13,
174,7,2020,19/08/2020,Diputado,Fidel Espinoza Sandoval,24/01/1970,50,Partido Socialista,PS,Apruebo,19/08/2020,T13,
175,7,2020,18/08/2020,Diputado,Marcos Ilabaca Cerda,05/10/1970,50,Partido Socialista,PS,Apruebo,,Instagram,
176,7,2020,19/08/2020,Diputado,Raúl Leiva Carvajal,24/03/1974,46,Partido Socialista,PS,Apruebo,19/08/2020,T13,
177,7,2020,19/08/2020,Diputado,Manuel Monsalve Benavides,09/06/1965,55,Partido Socialista,PS,Apruebo,19/08/2020,T13,
178,7,2020,18/08/2020,Diputado,Jaime Naranjo Ortiz,12/01/1951,69,Partido Socialista,PS,Apruebo,,Instagram,
179,7,2020,19/08/2020,Diputado,Emilia Nuyado Ancapichún,17/08/1968,52,Partido Socialista,PS,Apruebo,19/08/2020,T13,
