id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
102,6,Diputado,Aracely Leuquén,24/11/1980,41,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
103,6,Diputado,Cristobal Urruticoechea,21/11/1975,46,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
104,6,Diputado,Harry Jurgensen R.,03/09/1968,53,Renovación Nacional,RN,1,JA. Kast,26/04/2019,https://www.elmostrador.cl/noticias/sin-editar/2019/04/26/un-nuevo-diputado-para-kast/,.,
105,9,Constituyente,Teresa Marinovic,,,,RN-IND,1,JA. Kast,25-06-2021,https://twitter.com/tere_marinovic/status/1408251055977209859,.,
106,9,Constituyente,Ruth Hurtado,,,,RN-IND,1,JA. Kast,25-06-2021,https://twitter.com/ruth_uas/status/1407176565037932545,.,
107,6,Diputado,Erika Olivera,04/01/1976,45,Independiente,IND,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
108,6,Diputado,Pablo Prieto,04/05/1959,62,Independiente,IND,1,M. Desbordes,29/10/2020,https://www.24horas.cl/politica/diputados-rn-piden-a-desbordes-ser-candidato-presidencial-chile-lo-necesita-4510124,.,
109,5,Senador,Rafael Prohens,12/06/1955,66,Renovación Nacional,RN,1,M. Desbordes,18/12/2020,https://twitter.com/RafaelProhensE/status/1339973109026353154,.,
110,6,Diputado,Andrés Celis,08/04/1975,46,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
111,6,Diputado,Jorge Durán,17/12/1980,41,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
112,6,Diputado,Francisco Eguiguren,13/07/1967,54,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
113,6,Diputado,Jorge Rathgeb,28/12/1967,54,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
114,6,Diputado,Hugo Rey,06/12/1973,48,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
115,6,Diputado,Andrés Longton,26/05/1982,39,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
116,6,Diputado,Camilo Morán,17/04/1990,31,Renovación Nacional,RN,1,M. Desbordes,31/10/2020,https://www.ex-ante.cl/la-apuesta-de-sichel-en-rn/,.,
117,6,Diputado,Paulina Núñez,30/12/1982,39,Renovación Nacional,RN,1,M. Desbordes,25/06/2021,https://twitter.com/paulinanu/status/1407173884374306819,.,
118,6,Diputado,Leonidas Romero,15/10/1955,66,Renovación Nacional,RN,1,M. Desbordes,25/06/2021,https://twitter.com/leoromerosaez/status/1408450150612279297,.,
119,6,Diputado,Frank Sauerbaum,21/11/1972,49,Renovación Nacional,RN,1,M. Desbordes,25/06/2021,https://twitter.com/frank_sauerbaum,.,
120,6,Diputado,Ximena Ossandón,13/12/1963,58,Renovación Nacional,RN,1,M. Desbordes,25/06/2021,https://twitter.com/nonaossandon/status/1407181925488418818,.,
121,7,Alcalde,Germán Codina,28/03/1974,47,Renovación Nacional,RN,1,M. Desbordes,11-06-2021,,,
122,7,Alcalde,Juan C. Díaz,,,Renovación Nacional,RN,1,M. Desbordes,11-06-2021,,,
123,9,Constituyente,Cristian Monckeberg,,,,RN,1,M. Desbordes,25-06-2021,https://twitter.com/VictorBlancoC/status/1400162823775399943,.,
124,8,Candidato,Pamela Jiles,,,Partido Humanista,PH,1,P. Jiles,25-06-2021,,,
125,7,Alcalde,Claudio Castro,,,Independiente,IFP,1,P. Narváez,21-06-2021,twitter,,
126,6,Diputado,Pablo Vidal,24/06/1983,38,Nuevo Trato,NT,1,P. Narváez,19/05/2021,https://twitter.com/pablovidalrojas,.,
127,6,Diputado,Natalia Castillo,01/08/1982,39,Nuevo Trato,NT,1,P. Narváez,28/04/2021,Instagram,.,
128,6,Diputado,Alejandro Bernales,02/02/1979,42,Partido Liberal,PL,1,P. Narváez,28/04/2021,Instagram,.,
129,6,Diputado,Vlado Mirosevic,23/05/1987,34,Partido Liberal,PL,1,P. Narváez,28/04/2021,Instagram,.,
130,7,Alcalde,Gerardo Espíndola,23/07/1978,43,Partido Liberal,PL,1,P. Narváez,28/04/2021,Instagram,.,
131,2,Ex Presidente,Ricardo Lagos E.,02/03/1938,83,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
132,5,Senador,Adriana Muñoz,25/09/1948,73,Partido por la Democracia,PPD,1,P. Narváez,22/05/2021,https://twitter.com/PPD_Chile/status/1396223556795736073,.,
133,5,Senador,Guido Girardi,24/01/1961,60,Partido por la Democracia,PPD,1,P. Narváez,20/05/2021,https://twitter.com/guidogirardi/status/1395461385459576838,.,
134,5,Senador,Jaime Quintana,22/10/1967,54,Partido por la Democracia,PPD,1,P. Narváez,22/05/2021,https://twitter.com/PPD_Chile/status/1396223556795736073,.,
135,5,Senador,Jorge Soria,01/11/1936,85,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
136,5,Senador,Loreto Carvajal,18/05/1973,48,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
137,5,Senador,Ricardo Lagos W.,21/02/1962,59,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
138,6,Diputado,Ricardo Celis,11/07/1955,66,Partido por la Democracia,PPD,1,P. Narváez,22/05/2021,https://twitter.com/PPD_Chile/status/1396223556795736073,.,
139,6,Diputado,Tucapel Jiménez,01/09/1962,59,Partido por la Democracia,PPD,1,P. Narváez,22/05/2021,https://twitter.com/PPD_Chile/status/1396223556795736073,.,
140,6,Diputado,Rodrigo González,26/09/1941,80,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
141,6,Diputado,Carolina Marzán,22/12/1963,58,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
142,6,Diputado,Andrea Parra,02/09/1967,54,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
143,6,Diputado,Cristina Girardi,09/01/1962,59,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
144,6,Diputado,Patricia Rubio,01/08/1970,51,Partido por la Democracia,PPD,1,P. Narváez,21/06/2021,,,
145,7,Alcalde,Roberto Neira,,,Partido por la Democracia,PPD,1,P. Narváez,11-06-2021,,,
146,7,Alcalde,Camilo Benavente,,,Partido por la Democracia,PPD,1,P. Narváez,11-06-2021,,,
147,9,Constituyente,Felipe Harboe,,,,PPD ,1,P. Narváez,21/06/2021,,,
148,9,Constituyente,Eduardo Castillo,,,,PPD ,1,P. Narváez,21/06/2021,,,
149,2,Ex Presidente,Michelle Bachelet,29/09/1951,70,Partido Socialista,PS,1,P. Narváez,28/12/2020,https://www.latercera.com/la-tercera-pm/noticia/bachelet-ya-tiene-candidata-con-su-firma-unge-a-paula-narvaez-como-carta-ps/SJCZ7E2BIFBFHGNJ5K3UWJLIJE/,.,
150,4,Gobernador Reg.,Pablo Silva,,,Partido Socialista,PS,1,P. Narváez,17-06-2021,,,
151,4,Gobernador Reg.,Óscar Crisóstomo,,,Partido Socialista,PS,1,P. Narváez,17-06-2021,,,
152,4,Gobernador Reg.,Luis Cuvertino,,,Partido Socialista,PS,1,P. Narváez,17-06-2021,,,
153,4,Gobernador Reg.,Andrea Macías,,,Partido Socialista,PS,1,P. Narváez,17-06-2021,,,
154,5,Senador,Alfonso De Urresti,07/03/1966,55,Partido Socialista,PS,1,P. Narváez,27/01/2021,https://twitter.com/crivasa/status/1354500661166153732,.,
155,5,Senador,Álvaro Elizalde,15/10/1969,52,Partido Socialista,PS,1,P. Narváez,27/01/2021,https://twitter.com/crivasa/status/1354500661166153732,.,
156,5,Senador,Carlos Montes,11/05/1946,75,Partido Socialista,PS,1,P. Narváez,28/12/2020,https://www.latercera.com/la-tercera-pm/noticia/bachelet-ya-tiene-candidata-con-su-firma-unge-a-paula-narvaez-como-carta-ps/SJCZ7E2BIFBFHGNJ5K3UWJLIJE/,.,
157,5,Senador,Isabel Allende,18/01/1945,76,Partido Socialista,PS,1,P. Narváez,30/12/2020,https://www.latercera.com/la-tercera-pm/noticia/isabel-allende-y-su-sorpresivo-apoyo-a-paula-narvaez-es-el-tiempo-para-el-liderazgo-de-mujeres/G2TKKV3N4NFSTLJVM5SNMA2FU4/,.,
158,5,Senador,José Miguel,02/06/1943,78,Partido Socialista,PS,1,P. Narváez,27/01/2021,https://twitter.com/crivasa/status/1354500661166153732,.,
159,5,Senador,Juan Pablo Letelier,07/01/1961,60,Partido Socialista,PS,1,P. Narváez,27/01/2021,https://twitter.com/crivasa/status/1354500661166153732,.,
160,5,Senador,Rabindranath Quinteros,31/10/1943,78,Partido Socialista,PS,1,P. Narváez,27/01/2021,https://twitter.com/crivasa/status/1354500661166153732,.,
161,6,Diputado,Jenny Álvarez,30/03/1974,47,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
162,6,Diputado,Juan L. Castro,18/04/1960,61,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
163,6,Diputado,Daniella Cicardini,31/12/1987,34,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
164,6,Diputado,Fidel Espinoza,24/01/1970,51,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
165,6,Diputado,Marcos Ilabaca,05/10/1970,51,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
166,6,Diputado,Raúl Leiva,24/03/1974,47,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
167,6,Diputado,Manuel Monsalve,09/06/1965,56,Partido Socialista,PS,1,P. Narváez,23/12/2020,https://www.latercera.com/politica/noticia/diputados-ps-piden-a-alvaro-elizalde-asumir-candidatura-presidencial/KTXWI22X6ZBDBCY6OXLS4SSUJA/,.,
168,6,Diputado,Jaime Naranjo,12/01/1951,70,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
169,6,Diputado,Emilia Nuyado,17/08/1968,53,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
170,6,Diputado,Luis Rocafull,17/09/1958,63,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
171,6,Diputado,Gastón Saavedra,22/11/1955,66,Partido Socialista,PS,1,P. Narváez,23/12/2020,https://www.latercera.com/politica/noticia/diputados-ps-piden-a-alvaro-elizalde-asumir-candidatura-presidencial/KTXWI22X6ZBDBCY6OXLS4SSUJA/,.,
172,6,Diputado,Raúl Saldívar,02/06/1951,70,Partido Socialista,PS,1,P. Narváez,19/01/2021,https://twitter.com/bancadaPSchile/status/1351593620114186240,.,
